Stock,Weight (%)
GOOGL,48.90915807442212
JSWSTEEL.NS,29.11834716953013
AAPL,12.631882593878805
ICICIBANK.NS,7.727548849188564
AXISBANK.NS,1.6130633129805
TCS.NS,9.589172459589033e-14
POWERGRID.NS,2.2527324531709556e-14
SUNPHARMA.NS,1.8643902308818014e-14
HDFCBANK.NS,1.74955444458997e-14
HINDUNILVR.NS,1.6817612956959596e-14
TATASTEEL.NS,1.645302596853585e-14
DRREDDY.NS,1.3363130988029967e-14
KOTAKBANK.NS,1.175178359704474e-14
ULTRACEMCO.NS,1.0355021938255028e-14
ITC.NS,0.0
NESTLEIND.NS,0.0
MSFT,0.0
MARUTI.NS,0.0
LTTS.NS,0.0
INFY.NS,0.0
RELIANCE.NS,0.0
SHREECEM.NS,0.0
WIPRO.NS,0.0
